✓ Initialized. View run at 
https://modal.com/apps/daiv05/main/ap-X3tLSddMkc4zxZs0yUYdaX
✓ Created objects.
├── 🔨 Created mount 
│   C:\Users\david\Desktop\maize-doctor-classifier\scripts\modal\leave_one_sour
│   ce_out.py
├── 🔨 Created mount PythonPackage:src, PythonPackage:scripts
├── 🔨 Created mount C:\Users\david\Desktop\maize-doctor-classifier\config
└── 🔨 Created function run_leave_one_source_out.
[*] casi-duplicados eliminados: 165 de 33433
[*] grupos de procedencia: 11 | pliegues: 11
    test=corn-leaf-diseases-classification-roboflow (476) val=corn-leaf-roboflow clases=1
    test=corn-leaf-roboflow (2919) val=cropdg-unified-multidomain clases=6
    test=cropdg-unified-multidomain (2560) val=maize-2-roboflow clases=3
    test=maize-2-roboflow (845) val=maize-beans-tomatoes-africa clases=3
    test=maize-beans-tomatoes-africa (12112) val=maize-deficiency-scanner-roboflow clases=4
    test=maize-deficiency-scanner-roboflow (158) val=maize-diseases clases=3
    test=maize-diseases (6970) val=maize-in-field-dataset clases=3
    test=maize-in-field-dataset (851) val=maize-leaf-roboflow clases=3
    test=maize-leaf-roboflow (331) val=maize-nutrient-deficiency clases=1
    test=maize-nutrient-deficiency (337) val=multicrop-disease-maiz clases=4
    test=multicrop-disease-maiz (5709) val=corn-leaf-diseases-classification-roboflow clases=3
    [maize-deficiency-scanner-roboflow] epoca 4 val_macro_f1=0.2222
    [maize-deficiency-scanner-roboflow] epoca 5 val_macro_f1=0.2163
    [maize-deficiency-scanner-roboflow] epoca 6 val_macro_f1=0.2282
    [maize-deficiency-scanner-roboflow] epoca 7 val_macro_f1=0.2247
    [maize-deficiency-scanner-roboflow] epoca 8 val_macro_f1=0.2220
    [maize-deficiency-scanner-roboflow] epoca 9 val_macro_f1=0.2196
    [maize-deficiency-scanner-roboflow] epoca 10 val_macro_f1=0.2261
    [maize-deficiency-scanner-roboflow] epoca 11 val_macro_f1=0.2263
    [maize-deficiency-scanner-roboflow] epoca 12 val_macro_f1=0.2189
[maize-deficiency-scanner-roboflow] TEST macro_f1=0.1168 accuracy=0.3354
    [maize-diseases] epoca 1 val_macro_f1=0.0701
    [maize-diseases] epoca 2 val_macro_f1=0.0672
    [maize-diseases] epoca 3 val_macro_f1=0.0656
    [maize-diseases] epoca 4 val_macro_f1=0.0695
    [maize-diseases] epoca 5 val_macro_f1=0.0746
    [maize-diseases] epoca 6 val_macro_f1=0.0754
    [maize-diseases] epoca 7 val_macro_f1=0.0764
    [maize-diseases] epoca 8 val_macro_f1=0.0739
    [maize-diseases] epoca 9 val_macro_f1=0.0719
    [maize-diseases] epoca 10 val_macro_f1=0.0698
    [maize-diseases] epoca 11 val_macro_f1=0.0759
    [maize-diseases] epoca 12 val_macro_f1=0.0751
    [maize-diseases] epoca 13 val_macro_f1=0.0769
    [maize-diseases] epoca 14 val_macro_f1=0.0763
    [maize-diseases] epoca 15 val_macro_f1=0.0747
    [maize-diseases] epoca 16 val_macro_f1=0.0758
    [maize-diseases] epoca 17 val_macro_f1=0.0763
    [maize-diseases] epoca 18 val_macro_f1=0.0788
    [maize-diseases] epoca 19 val_macro_f1=0.0755
    [maize-diseases] epoca 20 val_macro_f1=0.0740
    [maize-diseases] epoca 21 val_macro_f1=0.0769
    [maize-diseases] epoca 22 val_macro_f1=0.0726
    [maize-diseases] epoca 23 val_macro_f1=0.0801
    [maize-diseases] epoca 24 val_macro_f1=0.0751
    [maize-diseases] epoca 25 val_macro_f1=0.0759
[maize-diseases] TEST macro_f1=0.2285 accuracy=0.6076
    [maize-in-field-dataset] epoca 1 val_macro_f1=0.0832
    [maize-in-field-dataset] epoca 2 val_macro_f1=0.0924
    [maize-in-field-dataset] epoca 3 val_macro_f1=0.0739
    [maize-in-field-dataset] epoca 4 val_macro_f1=0.0915
    [maize-in-field-dataset] epoca 5 val_macro_f1=0.0580
    [maize-in-field-dataset] epoca 6 val_macro_f1=0.0832
    [maize-in-field-dataset] epoca 7 val_macro_f1=0.0769
    [maize-in-field-dataset] epoca 8 val_macro_f1=0.0884
[maize-in-field-dataset] TEST macro_f1=0.0750 accuracy=0.2515
    [maize-leaf-roboflow] epoca 1 val_macro_f1=0.0916
    [maize-leaf-roboflow] epoca 2 val_macro_f1=0.0913
    [maize-leaf-roboflow] epoca 3 val_macro_f1=0.1039
    [maize-leaf-roboflow] epoca 4 val_macro_f1=0.0896
    [maize-leaf-roboflow] epoca 5 val_macro_f1=0.1071
    [maize-leaf-roboflow] epoca 6 val_macro_f1=0.1063
    [maize-leaf-roboflow] epoca 7 val_macro_f1=0.0923
    [maize-leaf-roboflow] epoca 8 val_macro_f1=0.1039
    [maize-leaf-roboflow] epoca 9 val_macro_f1=0.1107
    [maize-leaf-roboflow] epoca 10 val_macro_f1=0.1050
    [maize-leaf-roboflow] epoca 11 val_macro_f1=0.1195
    [maize-leaf-roboflow] epoca 12 val_macro_f1=0.1167
    [maize-leaf-roboflow] epoca 13 val_macro_f1=0.1109
    [maize-leaf-roboflow] epoca 14 val_macro_f1=0.1075
    [maize-leaf-roboflow] epoca 15 val_macro_f1=0.1230
    [maize-leaf-roboflow] epoca 16 val_macro_f1=0.1177
    [maize-leaf-roboflow] epoca 17 val_macro_f1=0.1087
    [maize-leaf-roboflow] epoca 18 val_macro_f1=0.1135
    [maize-leaf-roboflow] epoca 19 val_macro_f1=0.1201
    [maize-leaf-roboflow] epoca 20 val_macro_f1=0.1086
    [maize-leaf-roboflow] epoca 21 val_macro_f1=0.1101
[maize-leaf-roboflow] TEST macro_f1=0.0724 accuracy=0.4834
    [maize-nutrient-deficiency] epoca 1 val_macro_f1=0.2463
    [maize-nutrient-deficiency] epoca 2 val_macro_f1=0.2335
    [maize-nutrient-deficiency] epoca 3 val_macro_f1=0.2421
    [maize-nutrient-deficiency] epoca 4 val_macro_f1=0.2336
    [maize-nutrient-deficiency] epoca 5 val_macro_f1=0.2426
    [maize-nutrient-deficiency] epoca 6 val_macro_f1=0.2296
    [maize-nutrient-deficiency] epoca 7 val_macro_f1=0.2403
[maize-nutrient-deficiency] TEST macro_f1=0.0883 accuracy=0.1899
    [multicrop-disease-maiz] epoca 1 val_macro_f1=0.0671
    [multicrop-disease-maiz] epoca 2 val_macro_f1=0.0477
    [multicrop-disease-maiz] epoca 3 val_macro_f1=0.0610
    [multicrop-disease-maiz] epoca 4 val_macro_f1=0.0655
    [multicrop-disease-maiz] epoca 5 val_macro_f1=0.0643
    [multicrop-disease-maiz] epoca 6 val_macro_f1=0.0673
    [multicrop-disease-maiz] epoca 7 val_macro_f1=0.0700
    [multicrop-disease-maiz] epoca 8 val_macro_f1=0.0622
    [multicrop-disease-maiz] epoca 9 val_macro_f1=0.0620
    [multicrop-disease-maiz] epoca 10 val_macro_f1=0.0641
