✓ Initialized. View run at 
https://modal.com/apps/daiv05/main/ap-SmQ5ffcnlQHsgOtLpnwkLD
✓ Created objects.
├── 🔨 Created mount 
│   C:\Users\david\Desktop\maize-doctor-classifier\scripts\modal\leave_one_sour
│   ce_out.py
├── 🔨 Created mount PythonPackage:src, PythonPackage:scripts
├── 🔨 Created mount C:\Users\david\Desktop\maize-doctor-classifier\config
└── 🔨 Created function run_leave_one_source_out.
[*] casi-duplicados eliminados: 165 de 33433
[*] grupos de procedencia: 11 | pliegues: 11
    test=corn-leaf-diseases-classification-roboflow (476) val=corn-leaf-roboflow clases=1
    test=corn-leaf-roboflow (2919) val=cropdg-unified-multidomain clases=6
    test=cropdg-unified-multidomain (2560) val=maize-2-roboflow clases=3
    test=maize-2-roboflow (845) val=maize-beans-tomatoes-africa clases=3
    test=maize-beans-tomatoes-africa (12112) val=maize-deficiency-scanner-roboflow clases=4
    test=maize-deficiency-scanner-roboflow (158) val=maize-diseases clases=3
    test=maize-diseases (6970) val=maize-in-field-dataset clases=3
    test=maize-in-field-dataset (851) val=maize-leaf-roboflow clases=3
    test=maize-leaf-roboflow (331) val=maize-nutrient-deficiency clases=1
    test=maize-nutrient-deficiency (337) val=multicrop-disease-maiz clases=4
    test=multicrop-disease-maiz (5709) val=corn-leaf-diseases-classification-roboflow clases=3
    [maize-deficiency-scanner-roboflow] epoca 6 val_macro_f1=0.2146
    [maize-deficiency-scanner-roboflow] epoca 7 val_macro_f1=0.2232
    [maize-deficiency-scanner-roboflow] epoca 8 val_macro_f1=0.2166
[maize-deficiency-scanner-roboflow] TEST macro_f1=0.0973 accuracy=0.2278
    [maize-diseases] epoca 1 val_macro_f1=0.0700
    [maize-diseases] epoca 2 val_macro_f1=0.0611
    [maize-diseases] epoca 3 val_macro_f1=0.0662
    [maize-diseases] epoca 4 val_macro_f1=0.0660
    [maize-diseases] epoca 5 val_macro_f1=0.0654
    [maize-diseases] epoca 6 val_macro_f1=0.0682
    [maize-diseases] epoca 7 val_macro_f1=0.0615
[maize-diseases] TEST macro_f1=0.1813 accuracy=0.4105
    [maize-in-field-dataset] epoca 1 val_macro_f1=0.0651
    [maize-in-field-dataset] epoca 2 val_macro_f1=0.0825
    [maize-in-field-dataset] epoca 3 val_macro_f1=0.0788
    [maize-in-field-dataset] epoca 4 val_macro_f1=0.0896
    [maize-in-field-dataset] epoca 5 val_macro_f1=0.0751
    [maize-in-field-dataset] epoca 6 val_macro_f1=0.0724
    [maize-in-field-dataset] epoca 7 val_macro_f1=0.0706
    [maize-in-field-dataset] epoca 8 val_macro_f1=0.0799
    [maize-in-field-dataset] epoca 9 val_macro_f1=0.0771
    [maize-in-field-dataset] epoca 10 val_macro_f1=0.0802
[maize-in-field-dataset] TEST macro_f1=0.0556 accuracy=0.1633
    [maize-leaf-roboflow] epoca 1 val_macro_f1=0.0900
    [maize-leaf-roboflow] epoca 2 val_macro_f1=0.0901
    [maize-leaf-roboflow] epoca 3 val_macro_f1=0.0823
    [maize-leaf-roboflow] epoca 4 val_macro_f1=0.0868
    [maize-leaf-roboflow] epoca 5 val_macro_f1=0.0909
    [maize-leaf-roboflow] epoca 6 val_macro_f1=0.0874
    [maize-leaf-roboflow] epoca 7 val_macro_f1=0.0960
    [maize-leaf-roboflow] epoca 8 val_macro_f1=0.0940
    [maize-leaf-roboflow] epoca 9 val_macro_f1=0.0895
    [maize-leaf-roboflow] epoca 10 val_macro_f1=0.0852
    [maize-leaf-roboflow] epoca 11 val_macro_f1=0.0919
    [maize-leaf-roboflow] epoca 12 val_macro_f1=0.1020
    [maize-leaf-roboflow] epoca 13 val_macro_f1=0.0950
    [maize-leaf-roboflow] epoca 14 val_macro_f1=0.0999
    [maize-leaf-roboflow] epoca 15 val_macro_f1=0.1083
    [maize-leaf-roboflow] epoca 16 val_macro_f1=0.0868
    [maize-leaf-roboflow] epoca 17 val_macro_f1=0.1031
    [maize-leaf-roboflow] epoca 18 val_macro_f1=0.0908
    [maize-leaf-roboflow] epoca 19 val_macro_f1=0.0965
    [maize-leaf-roboflow] epoca 20 val_macro_f1=0.1012
    [maize-leaf-roboflow] epoca 21 val_macro_f1=0.0921
[maize-leaf-roboflow] TEST macro_f1=0.0769 accuracy=0.5287
    [maize-nutrient-deficiency] epoca 1 val_macro_f1=0.2270
    [maize-nutrient-deficiency] epoca 2 val_macro_f1=0.2410
    [maize-nutrient-deficiency] epoca 3 val_macro_f1=0.2287
    [maize-nutrient-deficiency] epoca 4 val_macro_f1=0.2332
    [maize-nutrient-deficiency] epoca 5 val_macro_f1=0.2476
    [maize-nutrient-deficiency] epoca 6 val_macro_f1=0.2408
    [maize-nutrient-deficiency] epoca 7 val_macro_f1=0.2419
    [maize-nutrient-deficiency] epoca 8 val_macro_f1=0.2439
    [maize-nutrient-deficiency] epoca 9 val_macro_f1=0.2503
    [maize-nutrient-deficiency] epoca 10 val_macro_f1=0.2483
    [maize-nutrient-deficiency] epoca 11 val_macro_f1=0.2476
    [maize-nutrient-deficiency] epoca 12 val_macro_f1=0.2449
    [maize-nutrient-deficiency] epoca 13 val_macro_f1=0.2460
    [maize-nutrient-deficiency] epoca 14 val_macro_f1=0.2519
    [maize-nutrient-deficiency] epoca 15 val_macro_f1=0.2514
    [maize-nutrient-deficiency] epoca 16 val_macro_f1=0.2536
    [maize-nutrient-deficiency] epoca 17 val_macro_f1=0.2406
    [maize-nutrient-deficiency] epoca 18 val_macro_f1=0.2495
    [maize-nutrient-deficiency] epoca 19 val_macro_f1=0.2480
    [maize-nutrient-deficiency] epoca 20 val_macro_f1=0.2501
    [maize-nutrient-deficiency] epoca 21 val_macro_f1=0.2596
    [maize-nutrient-deficiency] epoca 22 val_macro_f1=0.2582
    [maize-nutrient-deficiency] epoca 23 val_macro_f1=0.2516
    [maize-nutrient-deficiency] epoca 24 val_macro_f1=0.2524
