,aleatoria,fuera_de_fuente,delta,retiene_%,banda
healthy,0.9468,0.8092,-0.1376,85.5,sostenida
lethal_necrosis,0.9795,0.7912,-0.1882,80.8,sostenida
common_rust,0.9682,0.7804,-0.1877,80.6,sostenida
northern_corn_leaf_blight,0.8947,0.7171,-0.1776,80.2,sostenida
fall_armyworm,0.9054,0.6194,-0.286,68.4,fragil
nitrogen_deficiency,0.7154,0.419,-0.2963,58.6,fragil
gray_leaf_spot,0.8376,0.3972,-0.4405,47.4,no soportada
phosphorus_deficiency,0.739,0.2861,-0.4529,38.7,no soportada
potassium_deficiency,0.5832,0.1958,-0.3874,33.6,no soportada
